Time(sec),Diff Intensity
0,0
0.0333333333,0
0.0666666667,0
0.1,0
0.1333333333,0
0.1666666667,0
0.2,0
0.2333333333,0
0.2666666667,0
0.3,0
0.3333333333,0
0.3666666667,0
0.4,0
0.4333333333,0
0.4666666667,0
0.5,0
0.5333333333,0
0.5666666667,0
0.6,0
0.6333333333,0
0.6666666667,0
0.7,0
0.7333333333,0
0.7666666667,0
0.8,0
0.8333333333,0
0.8666666667,0
0.9,0
0.9333333333,0
0.9666666667,0
1,0
1.0333333333,0
1.0666666667,0
1.1,0
1.1333333333,0
1.1666666667,0
1.2,0
1.2333333333,0
1.2666666667,0
1.3,0
1.3333333333,0
1.3666666667,0
1.4,0
1.4333333333,0
1.4666666667,0
1.5,0
1.5333333333,0
1.5666666667,0
1.6,0
1.6333333333,0
1.6666666667,0
1.7,0
1.7333333333,0
1.7666666667,0
1.8,0
1.8333333333,0
1.8666666667,0
1.9,0
1.9333333333,0
1.9666666667,0
2,0
2.0333333333,0
2.0666666667,0
2.1,0
2.1333333333,0
2.1666666667,0
2.2,0
2.2333333333,0
2.2666666667,0
2.3,0
2.3333333333,0
2.3666666667,0
2.4,0
2.4333333333,0
2.4666666667,0
2.5,0
2.5333333333,0
2.5666666667,0
2.6,0
2.6333333333,0
2.6666666667,0
2.7,0
2.7333333333,0
2.7666666667,0
2.8,0
2.8333333333,0
2.8666666667,0
2.9,0
2.9333333333,0
2.9666666667,0
3,0
3.0333333333,0
3.0666666667,0
3.1,0
3.1333333333,0
3.1666666667,0
3.2,0
3.2333333333,0
3.2666666667,0
3.3,0
3.3333333333,0
3.3666666667,0
3.4,0
3.4333333333,0
3.4666666667,0
3.5,0
3.5333333333,0
3.5666666667,0
3.6,0
3.6333333333,0
3.6666666667,0
3.7,0
3.7333333333,0
3.7666666667,0
3.8,0
3.8333333333,0
3.8666666667,0
3.9,0
3.9333333333,0
3.9666666667,0
4,0
4.0333333333,0
4.0666666667,0
4.1,0
4.1333333333,0
4.1666666667,0
4.2,0
4.2333333333,0
4.2666666667,0
4.3,0
4.3333333333,0
4.3666666667,0
4.4,0
4.4333333333,0
4.4666666667,0
4.5,0
